SiteCode,Fullname,SiteLatitude,SiteLongitude,SiteElevation,IGBP_vegetation_short,IGBP_vegetation_long,TowerHeight,CanopyHeight,Tier,Exclude,Exclude_reason
CN-HaM,Haibei Alpine Tibet site,37.37,101.18,3975,GRA,Grasslands,NA,NA,1,FALSE,NA
CN-Qia,Qianyanzhou,26.7414,115.0581,64,ENF,Evergreen Needleleaf Forests,NA,NA,1,FALSE,NA
CN-Sw2,Siziwang Grazed (SZWG),41.7902,111.8971,1468,GRA,Grasslands,NA,NA,1,FALSE,NA
CZ-BK1,Bily Kriz forest,49.502129,18.53686,875,ENF,Evergreen Needleleaf Forests,36,NA,1,FALSE,NA
CZ-BK2,Bily Kriz grassland,49.49443,18.54285,855,GRA,Grasslands,NA,NA,1,FALSE,NA
CZ-wet,CZECHWET,49.02465,14.77035,426,WET,Permanent Wetlands,NA,NA,1,FALSE,NA
DE-Akm,Anklam,53.866167,13.68342,-1,WET,Permanent Wetlands,NA,NA,1,FALSE,NA
DE-Geb,Gebesee,51.1001,10.9143,161.5,CRO,Croplands,6,NA,1,FALSE,NA
DE-Gri,Grillenburg,50.949469,13.51253,385,GRA,Grasslands,3,NA,1,FALSE,NA
DE-Hai,Hainich,51.079167,10.453,430,DBF,Deciduous Broadleaf Forests,42,NA,1,FALSE,NA
DE-Kli,Klingenberg,50.892881,13.52251,478,CRO,Croplands,NA,NA,1,FALSE,NA
DE-Lkb,Lackenberg,49.099617,13.30467,1308,ENF,Evergreen Needleleaf Forests,NA,NA,1,FALSE,NA
DE-Obe,Oberb_renburg,50.783617,13.71963,735,ENF,Evergreen Needleleaf Forests,NA,NA,1,FALSE,NA
DE-RuR,Rollesbroich,50.621914,6.30413,514.7,GRA,Grasslands,NA,NA,1,FALSE,NA
DE-RuS,Selhausen Juelich,50.86591,6.44717,102.8,CRO,Croplands,NA,NA,1,FALSE,NA
DE-Seh,Selhausen,50.870623,6.44965,103,CRO,Croplands,NA,NA,1,FALSE,NA
DE-SfN,Schechenfilz Nord,47.806389,11.3275,590,WET,Permanent Wetlands,NA,NA,1,FALSE,NA
DE-Spw,Spreewald,51.89225,14.03369,63,WET,Permanent Wetlands,NA,NA,1,FALSE,NA
DE-Tha,Tharandt,50.963611,13.56694,380,ENF,Evergreen Needleleaf Forests,42,NA,1,FALSE,NA
DK-Fou,Foulum,56.4842,9.58722,51,CRO,Croplands,NA,NA,1,FALSE,NA
DK-NuF,Nuuk Fen,64.130833,-51.38611,50,WET,Permanent Wetlands,NA,NA,1,FALSE,NA
DK-Sor,Soroe,55.485869,11.64464,40,DBF,Deciduous Broadleaf Forests,57,NA,1,FALSE,NA
DK-ZaF,Zackenberg Fen,74.4791,-20.5557,38,WET,Permanent Wetlands,NA,NA,1,FALSE,NA
DK-ZaH,Zackenberg Heath,74.4732,-20.5503,38,GRA,Grasslands,NA,NA,1,FALSE,NA
ES-LgS,Laguna Seca,37.097936,-2.96583,2267,OSH,Open Shrublands,NA,NA,1,FALSE,NA
ES-Ln2,Lanjaron-Salvage logging,36.969502,-3.47582,2249,OSH,Open Shrublands,NA,NA,1,FALSE,NA
FI-Hyy,Hyytiala,61.8475,24.295,181,ENF,Evergreen Needleleaf Forests,73,NA,1,FALSE,NA
FI-Jok,Jokioinen,60.8986,23.51345,109,CRO,Croplands,NA,NA,1,FALSE,NA
FI-Lom,Lompoloj_nkk_,67.9972,24.20918,274,WET,Permanent Wetlands,NA,NA,1,FALSE,NA
FI-Sod,Sodankyla,67.361861,26.63783,180,ENF,Evergreen Needleleaf Forests,48,NA,1,FALSE,NA
FR-Fon,Fontainebleau-Barbeau,48.4764,2.78014,103,DBF,Deciduous Broadleaf Forests,35,NA,1,FALSE,NA
FR-Gri,Grignon,48.84422,1.95191,125,CRO,Croplands,NA,NA,1,FALSE,NA
FR-LBr,Le Bray (after 6/28/1998),44.71711,-0.7693,61,ENF,Evergreen Needleleaf Forests,38,NA,1,FALSE,NA
FR-Pue,Puechabon,43.74139,3.59583,270,EBF,Evergreen Broadleaf Forests,10,NA,1,FALSE,NA
GF-Guy,Guyaflux (French Guiana),5.278772,-52.92486,48,EBF,Evergreen Broadleaf Forests,55,NA,1,FALSE,NA
IT-BCi,Borgo Cioffi,40.52375,14.95744,20,CRO,Croplands,2,NA,1,FALSE,NA
IT-CA1,Castel d'Asso 1,42.380411,12.02656,200,DBF,Deciduous Broadleaf Forests,NA,NA,1,FALSE,NA
IT-CA2,Castel d'Asso 2,42.377219,12.02604,200,CRO,Croplands,NA,NA,1,FALSE,NA
IT-CA3,Castel d'Asso 3,42.38,12.0222,197,DBF,Deciduous Broadleaf Forests,NA,NA,1,FALSE,NA
IT-Col,Collelongo- Selva Piana,41.84936,13.58814,1560,DBF,Deciduous Broadleaf Forests,32,NA,1,FALSE,NA
IT-Cp2,Castelporziano 2,41.704266,12.35729,19,EBF,Evergreen Broadleaf Forests,NA,NA,1,FALSE,NA
IT-Cpz,Castelporziano,41.705249,12.37611,68,EBF,Evergreen Broadleaf Forests,15,NA,1,FALSE,NA
IT-Isp,Ispra ABC-IS,45.81264,8.63358,210,DBF,Deciduous Broadleaf Forests,NA,NA,1,FALSE,NA
IT-La2,Lavarone2,45.9542,11.2853,1350,ENF,Evergreen Needleleaf Forests,NA,NA,1,FALSE,NA
IT-Lav,Lavarone,45.9562,11.28132,1353,ENF,Evergreen Needleleaf Forests,33,NA,1,FALSE,NA
IT-MBo,Monte Bondone,46.014678,11.04583,1550,GRA,Grasslands,NA,NA,1,FALSE,NA
IT-Noe,Arca di No_ - Le Prigionette,40.60613,8.15146,28,CSH,Closed Shrublands,NA,NA,1,FALSE,NA
IT-PT1,Parco Ticino forest,45.200872,9.06104,60,DBF,Deciduous Broadleaf Forests,30,NA,1,FALSE,NA
IT-Ren,Renon,46.58686,11.43369,1730,ENF,Evergreen Needleleaf Forests,NA,NA,1,FALSE,NA
IT-Ro1,Roccarespampani 1,42.40812,11.93001,235,DBF,Deciduous Broadleaf Forests,20,NA,1,FALSE,NA
IT-Ro2,Roccarespampani 2,42.39026,11.92093,160,DBF,Deciduous Broadleaf Forests,NA,NA,1,FALSE,NA
IT-SR2,San Rossore 2,43.73203,10.29095,12,ENF,Evergreen Needleleaf Forests,NA,NA,1,FALSE,NA
IT-SRo,San Rossore,43.727861,10.28444,6,ENF,Evergreen Needleleaf Forests,NA,NA,1,FALSE,NA
IT-Tor,Torgnon,45.84444,7.57806,2160,GRA,Grasslands,NA,NA,1,FALSE,NA
JP-MBF,Moshiri Birch Forest Site,44.3869,142.3186,184,DBF,Deciduous Broadleaf Forests,NA,NA,1,FALSE,NA
JP-SMF,Seto Mixed Forest Site,35.2617,137.0788,199,MF,Mixed Forests,NA,NA,1,FALSE,NA
NL-Hor,Horstermeer,52.24035,5.0713,2.2,GRA,Grasslands,NA,NA,1,FALSE,NA
NL-Loo,Loobos,52.166581,5.74356,25,ENF,Evergreen Needleleaf Forests,24,NA,1,FALSE,NA
NO-Adv,Adventdalen,78.186,15.923,17,WET,Permanent Wetlands,NA,NA,1,FALSE,NA
RU-Che,Cherski,68.61304,161.34143,4,WET,Permanent Wetlands,NA,NA,1,FALSE,NA
RU-Cok,Chokurdakh,70.829139,147.49428,48,OSH,Open Shrublands,NA,NA,1,FALSE,NA
RU-Fyo,Fyodorovskoye,56.461528,32.92208,265,ENF,Evergreen Needleleaf Forests,NA,NA,1,FALSE,NA
RU-Ha1,Hakasia steppe,54.72517,90.00215,446,GRA,Grasslands,NA,NA,1,FALSE,NA
SD-Dem,Demokeya,13.2829,30.4783,500,SAV,Savannas,NA,NA,1,TRUE,Annual ET exceeds P; irrigated or other water source present
SN-Dhr,Dahra,15.40278,-15.43222,40,SAV,Savannas,NA,NA,1,FALSE,NA
US-AR1,ARM USDA UNL OSU Woodward Switchgrass 1,36.4267,-99.42,611,GRA,Grasslands,2.84,NA,1,FALSE,NA
US-AR2,ARM USDA UNL OSU Woodward Switchgrass 2,36.6358,-99.5975,646,GRA,Grasslands,2.95,NA,1,FALSE,NA
US-ARb,ARM Southern Great Plains burn site- Lamont,35.54974,-98.04023,424,GRA,Grasslands,NA,NA,1,FALSE,NA
US-ARc,ARM Southern Great Plains control site- Lamont,35.54649,-98.04006,424,GRA,Grasslands,NA,NA,1,FALSE,NA
US-ARM,ARM Southern Great Plains site- Lamont,36.60580063,-97.48880005,314,CRO,Croplands,60,NA,1,FALSE,NA
US-Blo,Blodgett Forest,38.89519882,-120.6327515,1315,ENF,Evergreen Needleleaf Forests,12.5,NA,1,FALSE,NA
US-GBT,GLEES Brooklyn Tower,41.3658,-106.2397,3191,ENF,Evergreen Needleleaf Forests,NA,NA,1,FALSE,NA
US-GLE,GLEES,41.3644,-106.2394,3197,ENF,Evergreen Needleleaf Forests,23,NA,1,FALSE,NA
US-KS2,Kennedy Space Center (scrub oak),28.60857739,-80.67153396,3,CSH,Closed Shrublands,NA,NA,1,FALSE,NA
US-Los,Lost Creek,46.08269882,-89.97920227,480,WET,Permanent Wetlands,10.2,NA,1,FALSE,NA
US-Me1,Metolius - Eyerly burn,44.5794,-121.5,896,ENF,Evergreen Needleleaf Forests,10,NA,1,FALSE,NA
US-Me2,Metolius-intermediate aged ponderosa pine,44.4523,-121.5574,1253,ENF,Evergreen Needleleaf Forests,32,16,1,FALSE,NA
US-Me6,Metolius Young Pine Burn,44.3232,-121.6043,998,ENF,Evergreen Needleleaf Forests,NA,5.2,1,FALSE,NA
US-Myb,Mayberry Wetland,38.0498,-121.7651,-1,WET,Permanent Wetlands,3.3,NA,1,FALSE,NA
US-NR1,Niwot Ridge Forest (LTER NWT1),40.03290176,-105.5459976,3050,ENF,Evergreen Needleleaf Forests,26,NA,1,FALSE,NA
US-ORv,Olentangy River Wetland Research Park,40.0201,-83.0183,221,WET,Permanent Wetlands,10,6,1,FALSE,NA
US-Prr,Poker Flat Research Range Black Spruce Forest,65.1237,-147.4876,210,ENF,Evergreen Needleleaf Forests,NA,NA,1,FALSE,NA
US-SRG,Santa Rita Grassland,31.7894,-110.8277,1291,GRA,Grasslands,NA,NA,1,FALSE,NA
US-SRM,Santa Rita Mesquite,31.82139969,-110.8659973,1120,WSA,Woody Savannas,6.4,4,1,FALSE,NA
US-Syv,Sylvania Wilderness Area,46.24200058,-89.34770203,540,MF,Mixed Forests,37,NA,1,FALSE,NA
US-Ton,Tonzi Ranch,38.43159866,-120.9660034,177,WSA,Woody Savannas,23,NA,1,FALSE,NA
US-Tw1,Twitchell Wetland West Pond,38.1074,-121.6469,-9,WET,Permanent Wetlands,NA,NA,1,FALSE,NA
US-Tw2,Twitchell Corn,38.1047,-121.6433,-5,CRO,Croplands,NA,NA,1,FALSE,NA
US-Tw3,Twitchell Alfalfa,38.1159,-121.6467,-9,CRO,Croplands,NA,NA,1,FALSE,NA
US-Tw4,Twitchell East End Wetland,38.103,-121.6414,-5,WET,Permanent Wetlands,NA,NA,1,FALSE,NA
US-Twt,Twitchell Island,38.1055,-121.6521,-2,CRO,Croplands,NA,NA,1,FALSE,NA
US-UMd,UMBS Disturbance,45.5625,-84.6975,239,DBF,Deciduous Broadleaf Forests,34,NA,1,FALSE,NA
US-Var,Vaira Ranch- Ione,38.41329956,-120.9507294,129,GRA,Grasslands,NA,NA,1,FALSE,NA
US-WCr,Willow Creek,45.80590057,-90.07990265,520,DBF,Deciduous Broadleaf Forests,30,NA,1,FALSE,NA
US-Whs,Walnut Gulch Lucky Hills Shrub,31.74379921,-110.052002,1370,OSH,Open Shrublands,NA,NA,1,FALSE,NA
US-Wi0,Young red pine (YRP),46.61880112,-91.08139801,349,ENF,Evergreen Needleleaf Forests,NA,NA,1,FALSE,NA
US-Wi3,Mature hardwood (MHW),46.63470078,-91.09870148,411,DBF,Deciduous Broadleaf Forests,NA,NA,1,FALSE,NA
US-Wi4,Mature red pine (MRP),46.73929977,-91.16629791,352,ENF,Evergreen Needleleaf Forests,NA,NA,1,FALSE,NA
US-Wi6,Pine barrens #1 (PB1),46.62490082,-91.29820251,371,OSH,Open Shrublands,NA,NA,1,FALSE,NA
US-Wi9,Young Jack pine (YJP),46.61880112,-91.08139801,350,ENF,Evergreen Needleleaf Forests,NA,NA,1,FALSE,NA
US-Wkg,Walnut Gulch Kendall Grasslands,31.7365,-109.9419,1531,GRA,Grasslands,6.4,NA,1,FALSE,NA
ZA-Kru,Skukuza,-25.0197,31.4969,359,SAV,Savannas,NA,NA,1,FALSE,NA
ZM-Mon,Mongu,-15.437778,23.25278,1053,DBF,Deciduous Broadleaf Forests,33,NA,1,FALSE,NA
